填料类型,填料类别,填料负载量(mg/cm²),比表面积(m²/g),粒径(nm),孔体积(cm³/g),基底材料,隔膜厚度(μm),孔隙率,电解液体系,温度(°C),倍率(C),循环次数,离子电导率(mS/cm),初始比容量(mAh/g),容量保持率(%),库伦效率(%),穿梭因子
NiS₂,金属硫化物,2.814,42.5,38.4,0.147,PVDF-HFP,31.4,0.639,DOL/DME + 0.5M LiTFSI,25,0.5,300,1.338,555.3,99.0,97.04,0.02
TiS₂,金属硫化物,0.934,35.0,26.8,0.132,Celgard 3501(PP/PE/PP),39.7,0.37,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,1.0,100,0.524,1068.2,99.0,98.16,0.02
碳黑(Super P),碳基,0.149,60.2,28.9,0.224,纤维素膜,37.9,0.714,TEGDME + 1M LiTFSI,60,3.0,200,1.291,984.0,92.7,90.43,0.3977
WS₂,金属硫化物,2.422,48.4,46.6,0.148,PVDF,27.5,0.599,TEGDME + 1M LiTFSI,25,0.2,500,0.548,765.9,99.0,95.18,0.02
CNT,碳基,2.159,281.2,36.5,0.641,尼龙膜,37.2,0.644,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,55,0.1,100,0.631,1249.8,99.0,94.89,0.038
Mo₂N,氮化物,1.163,49.1,30.6,0.178,Celgard 3501(PP/PE/PP),35.6,0.473,DOL/DME + 1M LiTFSI,45,0.5,200,1.803,1111.5,99.0,93.55,0.1029
VS₂,金属硫化物,0.361,54.1,34.7,0.157,纤维素膜,32.7,0.68,砜类(DIPAS) + 1M LiTFSI,55,0.2,100,0.934,1230.6,99.0,91.97,0.271
ZnO,金属氧化物,1.989,39.7,49.2,0.132,Celgard 2500(PE),19.6,0.472,砜类(DIPAS) + 1M LiTFSI,50,1.0,500,0.761,917.3,99.0,94.81,0.0578
La₂O₃,金属氧化物,2.017,26.9,61.5,0.086,PVDF-HFP,28.5,0.596,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,40,1.0,100,1.473,850.2,99.0,99.9,0.02
La₂O₃,金属氧化物,2.892,32.3,57.4,0.116,PET,14.4,0.506,砜类(DIPAS) + 1M LiTFSI,60,5.0,300,0.837,483.3,99.0,95.64,0.02
Fe₂O₃,金属氧化物,1.147,46.0,40.4,0.154,PVDF,31.2,0.589,砜类(DIPAS) + 1M LiTFSI,40,5.0,200,0.778,942.8,99.0,94.48,0.1778
V₂O₅,金属氧化物,2.031,40.9,35.2,0.154,Whatman GF/D,662.0,0.915,DOL/DME + 2M LiTFSI,40,2.0,50,1.474,802.3,99.0,96.51,0.02
ZIF-67,MOF/COF,1.605,1717.9,4.4,0.684,Celgard 3501(PP/PE/PP),37.1,0.465,TEGDME + 1M LiTFSI,55,0.2,1000,2.036,1471.5,99.0,93.37,0.02
Co₃O₄,金属氧化物,1.882,58.2,29.1,0.296,PVDF-HFP,20.2,0.647,TEGDME + 1M LiTFSI,25,0.1,100,0.761,989.9,99.0,94.18,0.02
CeO₂,金属氧化物,0.266,66.2,18.1,0.216,Celgard 3501(PP/PE/PP),32.1,0.451,DOL/DME + 2M LiTFSI,25,0.2,500,0.867,1056.7,88.7,91.72,0.3307
碳纳米纤维(CNF),碳基,2.355,185.5,145.3,0.588,GF/A(玻璃纤维),262.7,0.845,DOL/DME + 2M LiTFSI,35,1.0,1000,1.013,918.5,88.5,94.52,0.1161
ZnO,金属氧化物,2.689,35.0,56.2,0.068,纤维素膜,45.0,0.643,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,0.2,50,1.04,557.1,99.0,99.9,0.02
ZnO,金属氧化物,2.712,31.4,57.5,0.1,Celgard 2400(PP),28.5,0.494,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,50,0.2,200,1.404,696.5,99.0,98.67,0.02
VN,氮化物,2.683,63.5,23.0,0.17,PI(聚酰亚胺),5.0,0.57,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,55,0.2,500,0.473,703.9,99.0,94.12,0.02
TiN,氮化物,0.33,71.7,25.3,0.232,Celgard 2400(PP),22.6,0.264,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,35,1.0,200,1.198,965.2,97.2,97.49,0.1167
CNT,碳基,1.118,239.2,39.5,0.862,纤维素膜,34.2,0.735,TEGDME + 1M LiTFSI + 0.1M LiNO₃,30,2.0,200,0.755,1230.3,99.0,97.72,0.0469
氧化石墨烯(GO),碳基,1.247,405.4,4.2,0.577,GF/A(玻璃纤维),260.7,0.736,TEGDME + 1M LiTFSI + 0.1M LiNO₃,60,3.0,100,1.148,1259.4,99.0,98.81,0.02
多孔碳球,碳基,1.702,792.8,23.8,0.901,纤维素膜,34.1,0.666,TEGDME + 1M LiTFSI,60,1.0,800,1.644,1397.6,96.0,93.53,0.02
TiO₂,金属氧化物,2.577,64.5,29.7,0.197,PVDF,30.4,0.48,TEGDME + 1M LiTFSI,30,0.5,100,0.645,667.2,99.0,96.77,0.02
石墨烯,碳基,2.133,523.0,11.1,0.623,PET,14.7,0.448,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,0.2,1000,1.173,1117.4,99.0,98.7,0.02
HKUST-1,MOF/COF,0.259,1751.1,5.8,0.575,纤维素膜,38.4,0.66,TEGDME + 1M LiTFSI,35,5.0,200,0.939,1222.0,97.2,93.72,0.1341
Al₂O₃,金属氧化物,2.362,112.0,13.2,0.291,PAN,28.2,0.692,DOL/DME + 0.5M LiTFSI,30,0.1,200,1.689,891.0,99.0,94.91,0.02
ZIF-8,MOF/COF,0.87,1439.2,3.3,0.52,PET,18.4,0.576,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,60,0.5,800,2.208,1493.4,93.4,97.46,0.02
Fe₂O₃,金属氧化物,0.898,46.2,40.6,0.134,Celgard 3501(PP/PE/PP),35.9,0.423,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,0.5,100,1.039,955.3,99.0,98.74,0.026
WS₂,金属硫化物,1.601,54.9,24.1,0.11,PAN,29.2,0.707,砜类(DIPAS) + 1M LiTFSI,30,1.0,50,0.602,1018.9,99.0,95.82,0.0395
CoS₂,金属硫化物,0.351,44.9,29.0,0.155,PAN,20.2,0.693,TEGDME + 1M LiTFSI + 0.1M LiNO₃,30,5.0,800,0.789,898.6,78.3,98.46,0.2235
碳黑(Super P),碳基,2.464,61.7,38.1,0.241,PI(聚酰亚胺),23.5,0.48,DOL/DME + 1M LiTFSI,25,5.0,100,1.068,629.3,99.0,94.24,0.1576
Co₃O₄,金属氧化物,1.87,77.8,33.0,0.195,PET,18.2,0.534,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,40,5.0,800,1.365,870.1,99.0,99.9,0.02
NiS₂,金属硫化物,1.523,33.8,35.8,0.132,PAN,29.0,0.775,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,60,2.0,200,0.702,955.9,99.0,93.95,0.0782
碳黑(Super P),碳基,2.153,61.9,38.8,0.306,Celgard 2400(PP),25.4,0.45,DOL/DME + 2M LiTFSI,25,0.2,200,0.827,930.5,99.0,94.12,0.0766
Fe₂O₃,金属氧化物,2.494,41.0,48.0,0.124,PVDF-HFP,21.2,0.685,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,0.1,200,0.357,723.7,99.0,96.61,0.02
VN,氮化物,1.412,53.7,24.8,0.17,Whatman GF/D,660.8,0.93,DOL/DME + 2M LiTFSI,30,1.0,50,1.141,1039.4,99.0,96.14,0.1323
多孔碳球,碳基,1.068,844.3,17.7,1.285,PAN,31.2,0.687,DOL/DME + 1M LiTFSI,45,1.0,300,2.31,1403.0,99.0,93.98,0.1684
SiO₂,其他,1.315,244.9,16.2,0.478,纤维素膜,37.7,0.548,DOL/DME + 1M LiTFSI,40,0.1,100,1.761,1142.6,99.0,93.59,0.1722
SiO₂,其他,0.387,218.0,18.3,0.594,Celgard 2400(PP),31.7,0.431,DOL/DME + 2M LiTFSI,25,0.5,1000,0.893,987.5,83.3,92.79,0.2864
COF-LZU1,MOF/COF,0.892,497.0,13.0,0.331,Celgard 3501(PP/PE/PP),41.1,0.434,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,55,1.0,100,1.826,1242.7,99.0,98.21,0.02
PDA(聚多巴胺),聚合物,1.963,24.3,52.0,0.076,Whatman GF/D,676.7,0.796,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,40,1.0,500,1.325,718.0,99.0,99.9,0.02
WS₂,金属硫化物,2.002,40.8,30.0,0.153,GF/A(玻璃纤维),263.3,0.763,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,50,2.0,1000,1.86,956.5,99.0,99.9,0.02
ZIF-8,MOF/COF,0.661,1403.9,6.5,0.53,Celgard 3501(PP/PE/PP),41.5,0.395,TEGDME + 1M LiTFSI,45,0.2,200,1.06,1532.7,99.0,94.49,0.0967
rGO,碳基,1.189,302.3,6.4,0.901,尼龙膜,26.4,0.64,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,3.0,100,0.758,1148.3,99.0,99.33,0.02
ZnO,金属氧化物,0.829,35.8,55.5,0.099,PAN,17.5,0.73,砜类(DIPAS) + 1M LiTFSI,30,1.0,300,0.584,979.2,99.0,94.08,0.2712
rGO,碳基,1.419,323.2,4.1,0.895,PET,19.8,0.482,DOL/DME + 1M LiTFSI,50,1.0,500,2.256,1274.6,99.0,93.59,0.0678
石墨烯,碳基,0.067,530.2,6.1,0.713,PVDF,24.2,0.585,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,35,0.2,300,0.485,1301.5,93.7,92.77,0.3733
NiS₂,金属硫化物,1.202,41.0,30.8,0.159,PVDF-HFP,33.8,0.662,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,1.0,500,0.356,948.6,95.8,95.77,0.1702
V₂O₅,金属氧化物,1.966,43.8,41.2,0.137,PVDF-HFP,28.6,0.748,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,45,0.5,100,1.65,908.7,99.0,99.9,0.02
石墨烯,碳基,2.256,404.0,10.0,0.682,PAN,33.2,0.691,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,50,0.5,200,1.723,1046.5,99.0,97.49,0.02
rGO,碳基,0.867,344.5,6.9,0.577,PVDF-HFP,33.6,0.61,DOL/DME + 1M LiTFSI,30,0.5,500,1.515,1282.6,97.8,93.88,0.1742
VN,氮化物,2.41,51.4,21.8,0.203,GF/A(玻璃纤维),268.0,0.829,TEGDME + 1M LiTFSI,35,0.5,500,0.88,692.8,99.0,96.69,0.02
多孔碳球,碳基,0.26,710.4,17.2,0.815,GF/A(玻璃纤维),258.8,0.715,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,50,5.0,500,1.893,1121.2,92.4,95.58,0.1307
PDA(聚多巴胺),聚合物,2.7,28.1,78.0,0.079,尼龙膜,18.9,0.585,TEGDME + 1M LiTFSI + 0.1M LiNO₃,50,0.2,500,0.911,547.3,99.0,99.9,0.02
MWCNT,碳基,1.402,219.8,59.8,0.76,PET,21.4,0.479,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,45,1.0,50,1.769,1253.7,99.0,99.9,0.02
WO₃,金属氧化物,1.991,39.1,30.3,0.137,PAN,18.5,0.722,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,50,0.1,50,1.364,1036.7,99.0,99.25,0.02
MoS₂,金属硫化物,2.8,48.4,29.8,0.186,PVDF,28.9,0.471,DOL/DME + 2M LiTFSI,40,0.5,500,0.946,520.0,99.0,95.46,0.02
Mo₂N,氮化物,2.202,36.9,32.7,0.163,GF/A(玻璃纤维),251.7,0.926,DOL/DME + 1M LiTFSI,30,3.0,100,1.645,749.8,99.0,95.68,0.02
WO₃,金属氧化物,1.484,32.9,27.7,0.136,Celgard 2400(PP),24.1,0.298,DOL/DME + 0.5M LiTFSI,55,1.0,100,1.777,1036.4,99.0,94.39,0.0508
MnO₂,金属氧化物,2.301,86.6,27.6,0.276,Celgard 2500(PE),19.4,0.627,TEGDME + 1M LiTFSI,35,1.0,200,0.791,803.2,99.0,96.62,0.02
碳黑(Super P),碳基,2.331,63.0,43.9,0.203,Whatman GF/D,672.3,0.855,DOL/DME + 1M LiTFSI,25,0.1,1000,1.302,950.1,90.7,93.81,0.207
石墨烯,碳基,1.598,387.7,9.2,0.825,PVDF-HFP,27.7,0.655,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,1.0,50,1.361,1112.8,99.0,99.9,0.02
CoS₂,金属硫化物,1.084,43.5,33.9,0.194,PVDF,27.6,0.497,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,3.0,100,1.006,947.5,99.0,99.04,0.02
SiO₂,其他,2.789,207.8,11.6,0.557,PET,5.0,0.491,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,60,2.0,1000,1.54,506.7,95.9,98.15,0.02
氧化石墨烯(GO),碳基,0.07,402.9,3.9,0.521,GF/A(玻璃纤维),252.2,0.786,DOL/DME + 1M LiTFSI,45,0.1,300,2.08,1221.7,89.8,90.93,0.2962
HKUST-1,MOF/COF,2.218,1481.5,6.3,0.513,PAN,21.7,0.632,TEGDME + 1M LiTFSI,35,1.0,800,1.509,957.2,99.0,96.18,0.02
氧化石墨烯(GO),碳基,1.593,353.3,6.7,0.77,Celgard 3501(PP/PE/PP),35.5,0.441,TEGDME + 1M LiTFSI + 0.1M LiNO₃,35,3.0,200,0.778,1064.5,99.0,99.9,0.02
SnS₂,金属硫化物,1.993,33.4,38.6,0.135,Whatman GF/D,663.8,0.867,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,40,3.0,800,1.587,830.1,99.0,99.38,0.02
MXene(Ti₃C₂),其他,0.457,101.8,10.6,0.289,Celgard 2400(PP),25.7,0.417,DOL/DME + 1M LiTFSI,25,0.1,300,1.174,938.5,88.7,92.37,0.2562
Al₂O₃,金属氧化物,0.863,112.0,20.9,0.446,PAN,14.8,0.691,DOL/DME + 1M LiTFSI,40,0.5,100,1.848,1127.6,99.0,93.15,0.2365
ZnO,金属氧化物,2.332,35.3,48.2,0.098,PI(聚酰亚胺),23.4,0.57,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,50,1.0,50,1.55,831.7,99.0,99.9,0.02
氮掺杂碳,碳基,0.513,426.0,14.1,0.921,PVDF,35.1,0.601,DOL/DME + 0.5M LiTFSI,55,1.0,100,2.37,1344.7,99.0,91.29,0.2835
ZIF-8,MOF/COF,2.048,1695.2,4.5,0.621,Celgard 2500(PE),26.4,0.558,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,60,0.5,500,3.547,1109.6,99.0,99.9,0.02
氮掺杂碳,碳基,0.685,486.9,18.0,0.973,尼龙膜,29.2,0.567,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,2.0,100,1.191,1290.2,99.0,99.07,0.0517
氮掺杂碳,碳基,0.126,554.2,18.2,0.802,GF/A(玻璃纤维),261.8,0.735,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,30,1.0,800,0.469,1115.7,79.9,93.46,0.3048
BN,氮化物,1.055,27.9,40.5,0.099,纤维素膜,34.7,0.626,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,2.0,1000,0.353,956.3,83.3,94.23,0.222
PANI(聚苯胺),聚合物,1.786,36.5,78.8,0.089,纤维素膜,36.7,0.629,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,45,1.0,500,0.56,787.1,99.0,94.59,0.0423
多孔碳球,碳基,0.308,758.5,18.0,0.934,PVDF,25.1,0.661,TEGDME + 1M LiTFSI,30,0.5,100,0.755,1411.4,99.0,91.28,0.2674
碳黑(Super P),碳基,0.504,59.9,34.4,0.207,PVDF-HFP,19.2,0.631,DOL/DME + 2M LiTFSI,30,0.2,500,1.03,1142.6,89.8,91.35,0.2891
氧化石墨烯(GO),碳基,1.962,390.1,5.4,0.715,Celgard 3501(PP/PE/PP),29.4,0.473,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,40,3.0,200,1.757,1012.2,99.0,99.9,0.02
La₂O₃,金属氧化物,2.316,18.9,32.3,0.123,Celgard 3501(PP/PE/PP),40.5,0.561,TEGDME + 1M LiTFSI,45,0.5,500,0.875,808.0,99.0,94.55,0.02
ZIF-8,MOF/COF,2.603,1445.6,5.9,0.738,Celgard 2500(PE),33.4,0.631,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,40,0.5,300,0.774,923.0,99.0,97.24,0.02
MoS₂,金属硫化物,0.436,63.0,26.6,0.172,PVDF-HFP,17.4,0.64,TEGDME + 1M LiTFSI + 0.1M LiNO₃,60,2.0,1000,1.162,1035.6,77.7,96.55,0.162
ZnO,金属氧化物,0.565,39.5,37.5,0.123,Whatman GF/D,674.7,0.851,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,60,0.5,100,2.419,1110.5,98.3,97.13,0.213
MXene(Ti₃C₂),其他,0.958,98.9,12.2,0.231,PET,20.5,0.488,砜类(DIPAS) + 1M LiTFSI,35,0.5,200,0.62,1054.1,99.0,95.0,0.1004
WO₃,金属氧化物,2.503,39.2,36.1,0.126,PI(聚酰亚胺),15.6,0.594,DOL/DME + 1M LiTFSI,25,0.5,100,1.228,631.3,99.0,95.78,0.02
TpPa-COF,MOF/COF,1.719,503.5,6.0,0.271,GF/A(玻璃纤维),264.4,0.722,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,55,1.0,500,2.315,1077.1,99.0,99.22,0.02
石墨烯,碳基,1.769,394.7,9.6,0.746,Celgard 3501(PP/PE/PP),26.8,0.51,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,0.1,100,1.195,1329.3,99.0,99.54,0.02
碳纳米纤维(CNF),碳基,1.307,192.2,146.3,0.488,PI(聚酰亚胺),25.2,0.622,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,1.0,200,1.093,1217.9,99.0,97.61,0.0229
氮掺杂碳,碳基,1.973,446.2,14.9,0.89,纤维素膜,34.2,0.682,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,25,0.5,200,1.278,1179.3,99.0,99.9,0.02
MnO₂,金属氧化物,1.425,92.2,24.5,0.174,GF/A(玻璃纤维),264.0,0.781,DOL/DME + 2M LiTFSI,55,0.5,300,1.632,1164.8,99.0,95.22,0.0884
CeO₂,金属氧化物,1.674,60.1,21.8,0.145,GF/A(玻璃纤维),264.7,0.793,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,0.5,100,0.788,858.0,99.0,98.93,0.02
VN,氮化物,1.192,50.7,34.8,0.166,Celgard 3501(PP/PE/PP),35.9,0.47,TEGDME + 1M LiTFSI + 0.1M LiNO₃,55,3.0,1000,0.97,1041.3,85.0,97.73,0.02
VS₂,金属硫化物,1.879,43.5,31.9,0.157,PVDF,28.0,0.557,DOL/DME + 1M LiTFSI,30,5.0,800,1.229,771.2,99.0,96.1,0.02
ZnO,金属氧化物,0.288,40.4,53.2,0.119,PVDF,25.8,0.655,TEGDME + 1M LiTFSI,25,3.0,200,0.738,871.8,91.7,91.87,0.2838
CoS₂,金属硫化物,1.435,47.4,27.1,0.115,PET,23.8,0.518,TEGDME + 1M LiTFSI + 0.1M LiNO₃,35,0.2,200,0.655,1111.5,99.0,99.9,0.02
BN,氮化物,1.351,27.1,41.8,0.089,Whatman GF/D,670.0,0.728,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,35,1.0,500,0.424,946.7,99.0,95.18,0.2249
介孔碳(CMK-3),碳基,2.374,1009.3,10.8,0.909,PVDF-HFP,31.7,0.672,DOL/DME + 2M LiTFSI,25,0.5,300,1.181,854.4,99.0,96.18,0.02
rGO,碳基,0.233,343.8,5.1,0.899,PVDF,30.9,0.627,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,55,1.0,500,1.862,1373.3,90.2,95.8,0.2107
石墨烯,碳基,0.424,422.4,6.3,0.759,Whatman GF/D,663.6,0.899,砜类(DIPAS) + 1M LiTFSI,25,5.0,800,0.543,1055.5,81.6,92.6,0.3497
MoS₂,金属硫化物,0.116,55.4,27.5,0.145,Whatman GF/D,669.8,0.857,DOL/DME + 1M LiTFSI,25,0.2,1000,1.398,926.6,82.0,91.31,0.3499
ZIF-67,MOF/COF,0.76,1604.7,4.0,0.647,Celgard 3501(PP/PE/PP),28.1,0.466,DOL/DME + 2M LiTFSI,45,1.0,300,1.585,1445.0,99.0,94.21,0.02
MnO₂,金属氧化物,2.606,86.9,27.8,0.241,Whatman GF/D,664.7,0.739,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,45,0.5,300,1.53,692.4,99.0,99.46,0.02
rGO,碳基,2.645,322.5,4.6,0.757,PI(聚酰亚胺),30.3,0.458,TEGDME + 1M LiTFSI + 0.1M LiNO₃,25,1.0,50,0.543,687.1,99.0,99.4,0.02
石墨烯,碳基,1.097,434.9,10.3,0.962,PET,12.6,0.569,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,60,1.0,50,2.178,1376.9,99.0,98.92,0.02
Co₃O₄,金属氧化物,0.069,53.4,27.8,0.241,纤维素膜,35.6,0.674,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,50,0.2,100,0.52,978.1,98.7,91.14,0.3554
MoS₂,金属硫化物,2.592,62.0,25.9,0.214,纤维素膜,37.0,0.758,DOL/DME + 1M LiTFSI,25,2.0,50,1.224,590.2,99.0,96.6,0.02
Al₂O₃,金属氧化物,1.789,128.4,16.8,0.389,纤维素膜,39.7,0.667,TEGDME + 1M LiTFSI + 0.1M LiNO₃,55,0.5,500,1.089,1116.2,99.0,99.9,0.02
MoS₂,金属硫化物,2.991,47.7,30.0,0.189,Celgard 2500(PE),23.9,0.509,DOL/DME + 1M LiTFSI + 0.5M LiNO₃,60,0.5,500,1.33,542.1,99.0,99.9,0.02
Mo₂N,氮化物,2.421,46.8,23.9,0.181,PI(聚酰亚胺),18.6,0.541,DOL/DME + 0.5M LiTFSI,30,1.0,50,1.546,791.2,99.0,95.5,0.02
rGO,碳基,0.974,302.7,8.0,0.781,GF/A(玻璃纤维),258.9,0.824,TEGDME + 1M LiTFSI + 0.1M LiNO₃,45,0.2,500,1.139,1451.4,93.3,97.71,0.0824
UiO-66,MOF/COF,2.447,1216.4,2.5,0.791,PAN,17.4,0.665,DOL/DME + 0.5M LiTFSI,40,1.0,100,3.214,949.7,99.0,96.26,0.02
MoS₂,金属硫化物,0.953,54.9,24.3,0.187,尼龙膜,22.2,0.6,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,40,5.0,500,1.551,999.8,94.7,99.34,0.0938
碳纳米纤维(CNF),碳基,0.548,181.3,116.4,0.648,GF/A(玻璃纤维),259.6,0.744,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,60,0.5,50,2.041,1364.7,97.1,98.19,0.1919
CeO₂,金属氧化物,2.143,74.1,21.8,0.226,PVDF-HFP,26.4,0.621,DOL/DME + 1M LiTFSI + 0.2M LiNO₃,25,0.5,100,1.118,881.4,99.0,99.58,0.02
Mo₂N,氮化物,2.338,41.9,26.3,0.161,纤维素膜,33.7,0.677,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,55,0.2,100,1.85,932.7,99.0,99.9,0.02
rGO,碳基,1.448,372.3,5.8,0.514,PET,28.7,0.562,TEGDME + 1M LiTFSI + 0.1M LiNO₃,35,0.2,1000,0.843,1247.6,94.0,99.17,0.02
SnS₂,金属硫化物,2.545,43.3,23.2,0.152,Celgard 2400(PP),24.7,0.416,DOL/DME + 2M LiTFSI,40,0.5,300,0.886,739.6,99.0,96.34,0.02
WS₂,金属硫化物,0.401,28.9,31.1,0.17,Celgard 2400(PP),17.6,0.381,DOL/DME + 1M LiTFSI,30,0.5,100,1.262,1025.8,98.7,92.26,0.2957
CeO₂,金属氧化物,2.638,70.3,22.0,0.201,PI(聚酰亚胺),17.5,0.582,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,40,0.5,1000,0.372,654.2,99.0,95.03,0.02
CNT,碳基,0.743,247.4,42.2,0.63,Whatman GF/D,666.1,0.862,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,45,0.2,300,0.562,1390.1,99.0,92.38,0.3028
WS₂,金属硫化物,0.978,47.5,32.8,0.145,尼龙膜,27.2,0.572,DOL/DME + 1M LiTFSI,25,0.2,100,1.148,1155.2,99.0,93.13,0.1755
PANI(聚苯胺),聚合物,2.586,36.2,76.1,0.12,GF/A(玻璃纤维),258.4,0.792,TEGDME + 1M LiTFSI,45,0.2,200,0.985,589.7,99.0,96.45,0.0678
介孔碳(CMK-3),碳基,2.498,874.2,16.2,1.19,Celgard 2400(PP),26.7,0.476,TEGDME + 1M LiTFSI,40,0.1,500,1.008,1129.7,99.0,95.13,0.02
HKUST-1,MOF/COF,1.176,1619.6,7.4,0.593,PI(聚酰亚胺),22.4,0.609,TEGDME + 1M LiTFSI + 0.1M LiNO₃,45,2.0,50,1.46,1474.5,99.0,98.93,0.02
HKUST-1,MOF/COF,1.177,1666.6,5.6,0.636,PVDF,24.9,0.659,TEGDME + 1M LiTFSI,55,5.0,50,2.052,1311.9,99.0,92.06,0.02
Fe₂O₃,金属氧化物,1.266,45.8,34.1,0.16,纤维素膜,38.5,0.645,DOL/DME + 2M LiTFSI,55,1.0,500,1.475,1075.4,94.4,94.08,0.1316
Al₂O₃,金属氧化物,0.958,124.8,26.6,0.357,Whatman GF/D,675.0,0.78,DOL/DME + 0.5M LiTFSI,30,0.5,100,2.022,1094.0,99.0,95.73,0.2289
La₂O₃,金属氧化物,0.976,19.6,55.0,0.129,Whatman GF/D,669.4,0.886,砜类(DIPAS) + 1M LiTFSI,35,0.2,100,0.66,1110.3,99.0,93.09,0.1903
多孔碳球,碳基,2.553,821.6,17.8,1.126,Celgard 3501(PP/PE/PP),37.9,0.489,DOL/DME + 1M LiTFSI,40,0.1,50,1.994,1095.0,99.0,97.01,0.02
V₂O₅,金属氧化物,0.696,41.4,28.5,0.139,PI(聚酰亚胺),19.9,0.508,砜类(DIPAS) + 1M LiTFSI,30,3.0,100,0.546,879.4,97.4,93.64,0.246
WS₂,金属硫化物,2.017,25.5,32.5,0.111,PET,12.1,0.45,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,0.5,200,0.998,929.2,99.0,99.9,0.02
PDA(聚多巴胺),聚合物,2.813,22.7,103.9,0.084,Celgard 3501(PP/PE/PP),40.4,0.399,DOL/DME + 1M LiTFSI + 0.1M LiNO₃,25,0.5,200,0.865,446.2,99.0,99.9,0.02
介孔碳(CMK-3),碳基,1.629,862.4,13.2,1.478,PI(聚酰亚胺),10.6,0.571,TEGDME + 1M LiTFSI,25,1.0,500,0.994,1358.6,99.0,93.42,0.02
MWCNT,碳基,0.408,215.6,28.0,0.846,尼龙膜,31.5,0.6,DOL/DME + 1M LiTFSI,40,2.0,200,1.548,1104.6,96.7,92.99,0.2785
介孔碳(CMK-3),碳基,1.827,1186.4,9.3,1.399,Celgard 3501(PP/PE/PP),24.6,0.478,砜类(DIPAS) + 1M LiTFSI,50,0.5,1000,1.05,1599.8,94.8,93.16,0.02
WO₃,金属氧化物,2.686,29.8,26.9,0.145,Celgard 2500(PE),27.6,0.529,DOL/DME + 2M LiTFSI,60,1.0,1000,1.399,627.3,95.5,94.7,0.02
VS₂,金属硫化物,0.58,47.7,18.1,0.196,PVDF-HFP,27.3,0.636,DOL/DME + 0.5M LiTFSI,60,5.0,1000,3.142,1089.3,80.7,92.52,0.2386
氧化石墨烯(GO),碳基,0.206,377.2,4.4,0.65,Celgard 2500(PE),28.5,0.524,砜类(DIPAS) + 1M LiTFSI,25,0.2,100,0.515,1281.0,95.0,93.2,0.2408
VN,氮化物,1.243,59.2,38.7,0.184,PVDF-HFP,18.9,0.673,离子液体(PYR₁₄TFSI) + 0.5M LiTFSI,25,3.0,500,0.422,911.7,98.8,94.61,0.0983
