填料类型,填料类别,填料含量(wt%),比表面积(m²/g),粒径(nm),基底/聚合物,膜厚度(μm),温度(°C),压力(MPa),倍率(C),循环次数,离子电导率(mS/cm),界面阻抗(Ω·cm²),初始比容量(mAh/g),容量保持率(%),库伦效率(%),电化学窗口(V)
LLZO/PVDF纳米纤维,复合,66.3,117.9,78.2,PI(聚酰亚胺),31.3,60,335.5,0.2,100,0.33353,39.5,804.8,98.0,96.55,4.61
Li₃PO₄,磷酸盐,53.7,35.1,118.7,尼龙6,34.4,25,170.7,0.2,200,0.00228,76.4,458.4,98.0,98.67,5.85
Li₁₀GeP₂S₁₂(LGPS),硫化物,73.9,5.7,650.6,PAN(聚丙烯腈),34.8,25,283.1,1.0,100,7.39392,83.9,622.9,94.2,96.97,2.59
LLZO-Nb,氧化物,51.6,17.1,480.9,PVA(聚乙烯醇),31.6,70,382.3,0.05,500,0.74185,57.9,1050.8,90.5,96.85,5.0
Li₉.₅₄Si₁.₇₄P₁.₄₄S₁₁.₇Cl₀.₃,硫化物,17.3,3.6,1074.2,尼龙6,40.5,60,307.6,0.5,300,0.72809,54.5,817.7,92.6,96.95,2.41
LiPON,磷酸盐,17.2,33.0,91.4,PPC(聚碳酸亚丙酯),24.5,60,406.1,0.2,800,0.00815,29.3,799.2,87.9,97.38,5.41
LLZO-Ta,氧化物,73.5,14.1,473.7,PVDF-HFP,33.2,60,194.9,0.5,50,1.13546,101.5,840.8,98.0,96.96,5.37
Li₆PS₅Br,硫化物,66.5,11.2,883.2,PVDF-HFP,12.0,60,461.6,0.05,800,2.29428,57.3,1003.3,84.4,96.44,2.29
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,29.2,13.9,362.0,PMMA(聚甲基丙烯酸甲酯),50.3,55,140.6,0.5,100,0.04652,71.0,655.2,98.0,95.89,4.82
Li₇P₃S₁₁,硫化物,51.1,4.4,949.4,PCL(聚己内酯),40.0,80,97.4,0.05,200,3.30087,96.1,1155.3,94.2,95.79,2.52
Na₃PS₄(参考),硫化物,77.4,15.5,552.8,PCL(聚己内酯),58.1,50,275.8,0.2,300,0.60902,68.2,729.1,98.0,96.03,2.5
Li₃YCl₆,卤化物,57.0,11.4,421.0,PPC(聚碳酸亚丙酯),36.5,60,358.7,0.5,100,1.13452,40.0,855.3,98.0,96.44,4.02
LLZO@GO复合,复合,24.5,173.0,49.5,PAN(聚丙烯腈),37.1,45,108.4,1.0,200,0.02906,51.1,657.6,98.0,97.83,4.35
LLZO(Li₇La₃Zr₂O₁₂),氧化物,69.8,14.3,586.9,PVA(聚乙烯醇),29.9,40,446.9,0.2,500,0.29734,80.5,730.6,97.1,98.36,4.93
Li₉.₅₄Si₁.₇₄P₁.₄₄S₁₁.₇Cl₀.₃,硫化物,11.4,4.6,606.9,尼龙6,24.4,60,84.1,0.1,50,0.27927,56.0,904.5,95.8,96.35,2.6
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,45.3,13.7,372.6,PEO(聚环氧乙烷),50.0,30,201.6,0.05,200,0.11918,74.8,639.1,98.0,97.06,5.03
LLZO-Ta,氧化物,17.4,12.0,458.2,PCL(聚己内酯),55.8,55,356.0,0.1,800,0.03809,44.5,843.3,92.0,97.73,5.09
Li₇P₃S₁₁,硫化物,75.3,5.6,780.8,PPC(聚碳酸亚丙酯),43.4,25,68.0,0.05,100,1.79742,118.3,810.0,98.0,96.57,2.55
Li₃InCl₆,卤化物,48.9,11.5,449.6,纤维素基,50.0,80,316.1,0.2,300,2.6529,49.7,1058.8,93.9,96.28,3.9
LLZO-Nb,氧化物,37.0,14.4,576.1,PMMA(聚甲基丙烯酸甲酯),42.3,25,269.7,0.1,200,0.12629,84.6,657.9,98.0,98.21,5.0
LLZO(Li₇La₃Zr₂O₁₂),氧化物,27.6,13.9,451.4,尼龙6,53.2,70,418.7,0.2,800,0.05289,42.2,937.0,83.8,97.24,5.17
Li₃PS₄,硫化物,14.4,13.8,691.7,PVA(聚乙烯醇),35.0,30,144.9,0.1,50,0.00725,67.5,598.2,98.0,97.51,2.44
Li₃ScCl₆,卤化物,68.6,8.3,486.2,纤维素基,52.4,30,285.8,1.0,300,1.89141,78.1,602.6,98.0,97.7,3.96
LiPON,磷酸盐,55.4,42.3,112.0,PAN(聚丙烯腈),19.1,25,472.9,0.2,200,0.00179,49.9,498.1,98.0,99.19,5.37
Li₂ZrCl₆,卤化物,75.3,15.7,352.7,PEG(聚乙二醇),46.2,60,276.9,0.2,800,1.24235,73.2,933.6,86.4,97.19,4.13
Li₂ZrCl₆,卤化物,14.6,16.5,420.8,PVDF-HFP,27.6,30,306.7,0.5,50,0.00749,46.2,515.1,97.5,96.46,4.18
Li₆PS₅Br,硫化物,13.1,10.6,839.2,PI(聚酰亚胺),24.4,70,170.3,0.1,500,0.03881,55.3,901.6,86.3,97.15,2.33
LATP/CNT复合,复合,44.6,130.8,47.2,尼龙6,32.1,70,73.5,0.1,800,0.42283,54.8,958.6,85.0,95.71,4.61
LATP/CNT复合,复合,76.3,220.4,69.2,尼龙6,34.4,25,186.7,0.2,100,0.28647,76.0,650.1,93.9,97.83,4.81
Na₃PS₄(参考),硫化物,42.3,18.0,709.5,PAN(聚丙烯腈),45.5,40,181.0,0.2,100,0.20268,61.0,640.5,95.1,95.63,2.41
Li₃PO₄,磷酸盐,10.5,35.6,155.8,尼龙6,34.2,25,122.4,0.1,800,6e-05,67.9,386.2,81.9,98.11,5.78
LLZO(Li₇La₃Zr₂O₁₂),氧化物,78.7,14.2,384.3,PAN(聚丙烯腈),25.1,50,140.5,0.05,100,0.57007,107.3,906.0,98.0,98.16,5.53
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,66.1,6.7,609.2,PPC(聚碳酸亚丙酯),29.9,50,253.3,0.5,200,1.52759,81.5,749.2,97.3,97.19,4.89
Li₃ScCl₆,卤化物,74.2,11.5,494.2,PMMA(聚甲基丙烯酸甲酯),48.7,25,137.4,0.1,100,1.57613,87.7,692.9,98.0,96.26,3.95
Na₃PS₄(参考),硫化物,15.0,14.4,556.8,PI(聚酰亚胺),34.8,25,431.2,0.1,200,0.00476,43.7,502.2,98.0,97.32,2.61
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,68.8,22.8,395.8,PEO(聚环氧乙烷),52.5,45,314.2,0.2,300,0.41526,96.4,784.1,97.5,96.86,5.26
Li₃YCl₆,卤化物,32.4,17.4,573.2,PVDF-HFP,28.0,60,210.6,0.5,500,0.45355,56.6,730.4,91.1,97.68,3.93
Li₂ZrCl₆,卤化物,38.7,14.7,368.8,PCL(聚己内酯),50.8,25,374.6,1.0,200,0.21448,50.7,585.0,98.0,98.07,4.1
Li₃PS₄,硫化物,67.8,13.4,455.1,PCL(聚己内酯),54.7,55,388.2,0.5,500,0.93755,44.2,786.0,95.2,98.22,2.2
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,18.2,26.2,289.2,PCL(聚己内酯),52.1,55,425.0,0.2,50,0.0213,35.3,792.0,98.0,97.77,4.66
Li₂ZrCl₆,卤化物,25.5,15.4,373.7,PVDF,40.4,30,140.4,0.5,50,0.03064,71.3,580.1,98.0,97.33,3.91
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,49.6,8.5,595.7,PI(聚酰亚胺),27.8,25,344.4,0.05,50,0.3938,78.8,635.4,98.0,97.67,4.91
Li₇P₃S₁₁,硫化物,63.8,5.9,884.0,PCL(聚己内酯),58.2,45,93.8,1.0,200,2.05462,108.8,723.3,98.0,96.64,2.86
Li₂B₁₂H₁₂,硼氢化物,44.9,17.9,236.6,PVA(聚乙烯醇),33.7,30,307.0,1.0,200,0.19962,53.0,576.8,95.4,97.02,3.03
Li₂S-P₂S₅(75:25),硫化物,52.4,9.6,801.2,PEO(聚环氧乙烷),44.7,60,220.0,0.5,800,2.11501,76.1,820.6,83.5,96.08,3.06
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,30.9,15.1,394.4,纤维素基,53.6,45,169.3,0.05,50,0.09713,70.6,838.1,98.0,98.02,5.38
LLZO-Nb,氧化物,11.2,13.4,541.5,PCL(聚己内酯),64.4,40,331.7,0.2,50,0.01162,52.4,614.0,98.0,97.16,4.7
Li₃PS₄,硫化物,26.5,11.3,507.6,纤维素基,37.7,30,388.9,0.1,100,0.03741,48.3,573.3,95.7,97.74,2.6
LISICON(Li₂+2xZn₁-xGeO₄),磷酸盐,49.4,16.7,207.3,PMMA(聚甲基丙烯酸甲酯),33.6,30,493.5,0.5,200,0.03678,42.5,545.6,97.8,99.45,5.78
Li₇P₃S₁₁,硫化物,22.0,5.7,937.7,PEG(聚乙二醇),33.8,60,432.7,0.2,800,0.13826,35.6,790.8,83.1,95.71,2.58
LLZO-Nb,氧化物,32.8,13.0,470.6,PEG(聚乙二醇),27.5,70,218.9,0.2,100,0.49758,68.7,829.5,98.0,97.59,4.63
LATP/CNT复合,复合,14.7,157.3,81.4,PVDF-HFP,35.9,45,319.3,0.05,200,0.0068,36.9,759.7,97.2,98.06,4.41
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,54.4,20.3,299.2,PCL(聚己内酯),52.4,40,303.2,0.5,800,0.19943,61.7,674.5,91.0,98.5,4.99
LLZO@GO复合,复合,32.3,224.9,58.4,PEO(聚环氧乙烷),46.0,80,426.3,0.1,100,0.4544,24.2,1172.1,97.2,96.55,4.08
LLZO-Ta,氧化物,30.9,10.1,471.0,PCL(聚己内酯),46.0,30,71.2,0.5,800,0.13182,97.0,612.2,96.9,97.62,5.02
Li₃ScCl₆,卤化物,19.5,10.1,560.0,PAN(聚丙烯腈),34.1,45,371.1,0.5,800,0.0914,41.3,697.0,85.3,97.3,3.62
LLZO-Nb,氧化物,63.1,11.3,483.6,PVDF-HFP,42.9,55,145.7,1.0,200,0.83307,95.5,775.2,98.0,98.14,5.44
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,10.1,14.6,367.2,PMMA(聚甲基丙烯酸甲酯),47.0,60,225.0,0.05,50,0.00372,50.5,680.0,98.0,98.15,5.04
LLZO(Li₇La₃Zr₂O₁₂),氧化物,62.9,12.0,550.7,PEG(聚乙二醇),36.6,25,417.1,0.2,200,0.15807,90.0,551.3,98.0,98.22,4.94
Li₂S-P₂S₅(75:25),硫化物,65.1,10.3,729.5,PVDF-HFP,38.0,25,312.6,1.0,50,1.20204,73.0,561.1,98.0,97.97,2.76
Li₉.₅₄Si₁.₇₄P₁.₄₄S₁₁.₇Cl₀.₃,硫化物,28.0,3.4,1014.2,PVDF,47.9,25,137.5,0.1,200,1.27075,77.6,659.9,95.0,97.0,2.33
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,17.0,12.7,713.6,PMMA(聚甲基丙烯酸甲酯),57.8,40,194.9,0.1,100,0.02217,68.1,718.5,98.0,97.52,4.81
Li₆PS₅Br,硫化物,40.8,10.8,566.2,PEG(聚乙二醇),31.4,55,258.6,0.1,50,1.16323,47.8,823.3,89.4,97.2,2.65
LLZO@GO复合,复合,76.4,163.9,47.2,PVA(聚乙烯醇),41.9,80,229.3,0.05,50,1.59559,56.3,1193.2,98.0,96.16,4.5
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,73.2,16.6,440.5,PMMA(聚甲基丙烯酸甲酯),52.6,45,290.8,0.05,200,0.33276,78.8,783.2,98.0,96.65,5.03
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,18.9,19.6,283.4,PEG(聚乙二醇),39.0,80,235.0,0.2,50,0.07301,48.2,928.9,95.9,95.74,5.17
Li₇P₃S₁₁,硫化物,45.9,7.9,938.9,尼龙6,28.1,25,332.9,0.5,100,0.79135,72.7,588.2,98.0,96.74,2.61
Li₆PS₅Cl,硫化物,53.1,6.5,756.1,PVA(聚乙烯醇),38.3,25,270.0,0.1,200,1.02522,73.9,719.3,98.0,98.27,2.6
LLZO(Li₇La₃Zr₂O₁₂),氧化物,26.6,9.4,528.6,PI(聚酰亚胺),30.7,45,386.7,1.0,200,0.02473,62.3,590.1,98.0,97.87,4.97
Li₆PS₅Br,硫化物,62.2,8.7,757.1,PEO(聚环氧乙烷),50.8,30,157.8,1.0,100,1.1138,120.9,600.1,98.0,96.25,2.59
LLZO(Li₇La₃Zr₂O₁₂),氧化物,60.2,22.0,562.1,PI(聚酰亚胺),16.8,25,375.1,0.1,800,0.12974,91.3,636.4,85.9,98.47,4.78
LLZO(Li₇La₃Zr₂O₁₂),氧化物,37.0,16.3,530.6,PEO(聚环氧乙烷),62.0,80,295.1,0.5,100,0.52838,64.7,859.7,98.0,96.3,5.06
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,55.6,11.0,662.0,PVDF-HFP,30.5,45,160.5,0.5,500,1.03451,98.2,738.4,85.2,96.56,5.09
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,42.9,15.6,272.6,PAN(聚丙烯腈),26.4,30,331.9,0.5,50,0.11283,67.5,622.3,98.0,96.84,4.91
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,24.8,11.3,413.6,PEG(聚乙二醇),32.5,50,487.1,1.0,100,0.06276,47.0,599.8,98.0,98.95,4.99
Li₃PS₄,硫化物,73.6,14.9,539.0,PEG(聚乙二醇),40.6,50,440.5,0.5,200,0.95052,55.8,819.7,98.0,97.81,2.41
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,39.4,11.8,337.7,纤维素基,41.5,30,362.1,0.2,800,0.11614,66.9,614.7,91.9,98.45,5.04
Li₇P₃S₁₁,硫化物,64.0,9.0,1026.8,PVDF-HFP,34.0,50,267.1,0.5,100,2.29959,87.6,742.8,96.0,97.3,2.54
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,52.1,9.3,576.8,PAN(聚丙烯腈),30.4,40,139.5,0.2,100,0.6658,110.5,674.2,98.0,97.76,5.08
LiPON,磷酸盐,62.0,40.7,81.7,PVA(聚乙烯醇),22.1,70,249.0,0.1,500,0.0072,48.4,868.5,90.0,97.05,5.63
Li₃PS₄,硫化物,45.3,12.4,593.8,PEG(聚乙二醇),27.2,25,107.3,0.1,100,0.24908,103.2,685.6,97.8,98.15,2.65
Li₇P₃S₁₁,硫化物,62.5,8.1,770.6,尼龙6,30.2,60,323.2,0.2,50,2.26136,59.4,977.0,98.0,95.96,2.35
Li₆PS₅Br,硫化物,74.9,5.9,767.3,PEO(聚环氧乙烷),49.4,50,292.2,0.05,500,2.64493,65.5,938.8,92.0,96.71,2.45
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,53.6,17.3,311.9,PI(聚酰亚胺),30.8,70,284.3,0.5,100,0.44308,55.7,867.6,94.0,97.7,5.12
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,15.9,15.6,240.9,PVA(聚乙烯醇),10.0,60,253.8,0.05,100,0.00869,58.5,856.5,98.0,97.68,5.02
LATP/CNT复合,复合,78.1,154.5,45.3,PEO(聚环氧乙烷),56.8,40,79.9,0.2,50,0.4182,96.4,752.6,97.7,97.52,4.65
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,64.1,20.0,372.8,PPC(聚碳酸亚丙酯),33.7,80,337.8,0.2,200,0.77592,47.4,889.2,92.0,96.13,5.03
LLZO(Li₇La₃Zr₂O₁₂),氧化物,78.8,18.5,417.5,PVDF-HFP,44.0,60,241.0,0.5,500,0.63315,76.8,834.1,97.1,97.5,4.81
LLZO-Nb,氧化物,32.5,13.6,539.2,纤维素基,43.4,30,450.1,0.05,200,0.10079,73.2,666.3,98.0,98.02,4.92
Li₆PS₅Cl,硫化物,19.9,9.6,740.3,PMMA(聚甲基丙烯酸甲酯),44.0,30,149.9,0.2,300,0.05999,68.9,618.6,93.0,97.2,2.69
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,16.6,13.4,625.9,PI(聚酰亚胺),29.0,30,265.2,1.0,100,0.01215,75.3,481.8,98.0,98.04,5.36
Li₃PS₄,硫化物,66.8,10.4,607.3,PEO(聚环氧乙烷),37.7,60,411.6,0.05,800,1.02956,42.2,887.6,95.2,97.58,2.13
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,43.3,24.4,422.1,PVDF-HFP,41.4,60,277.7,0.2,200,0.2488,59.4,875.9,97.9,97.15,5.01
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,35.9,13.7,453.9,PI(聚酰亚胺),15.7,25,262.5,1.0,200,0.07665,67.7,500.6,98.0,98.25,4.77
Li₁₀GeP₂S₁₂(LGPS),硫化物,32.7,5.0,938.1,PI(聚酰亚胺),29.2,60,110.9,0.2,200,5.38751,67.5,963.6,90.0,97.55,2.13
Li₃PS₄,硫化物,75.4,10.5,582.1,PCL(聚己内酯),55.9,70,287.0,1.0,50,1.53069,53.4,785.1,95.8,97.47,2.59
Li₁.₄Al₀.₄Ti₁.₆(PO₄)₃,氧化物,15.3,21.9,269.8,PAN(聚丙烯腈),29.0,60,82.7,0.05,100,0.01094,68.5,807.3,95.2,96.77,4.87
Li₆PS₅Br,硫化物,51.6,6.4,685.6,PCL(聚己内酯),52.9,25,258.2,0.05,200,0.73697,74.9,747.4,98.0,97.99,2.41
LLZO(Li₇La₃Zr₂O₁₂),氧化物,39.7,13.2,452.0,PI(聚酰亚胺),26.1,30,500.0,0.1,100,0.08679,57.8,642.9,98.0,99.26,5.0
Na₃PS₄(参考),硫化物,59.0,11.6,454.8,纤维素基,49.5,80,456.7,0.5,50,0.73209,29.1,969.6,98.0,96.77,2.38
Na₃PS₄(参考),硫化物,48.5,13.0,656.1,PMMA(聚甲基丙烯酸甲酯),54.0,25,416.6,0.05,200,0.19591,55.9,699.3,98.0,99.04,2.48
LLZO-Nb,氧化物,57.4,14.6,581.0,PPC(聚碳酸亚丙酯),36.1,55,109.5,0.5,500,0.71937,117.0,745.9,94.5,97.45,5.1
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,46.5,14.7,317.9,PAN(聚丙烯腈),45.1,50,436.8,0.2,100,0.35247,50.6,778.8,98.0,98.36,4.97
Li₇P₃S₁₁,硫化物,53.5,9.6,927.4,PMMA(聚甲基丙烯酸甲酯),59.3,30,393.1,0.1,200,1.12916,59.2,658.7,92.7,97.58,2.32
Li₁₀GeP₂S₁₂(LGPS),硫化物,30.9,6.6,748.7,PI(聚酰亚胺),34.2,70,86.5,0.2,800,5.803,55.6,1022.9,81.0,96.0,2.61
Na₃PS₄(参考),硫化物,26.0,13.4,597.4,PCL(聚己内酯),55.1,50,320.2,0.1,50,0.04415,40.7,703.5,93.3,97.74,2.16
Li₆PS₅Br,硫化物,31.3,10.0,790.2,PVA(聚乙烯醇),24.8,45,373.6,0.05,100,0.54235,58.7,862.2,96.3,97.64,2.61
Na₃PS₄(参考),硫化物,42.6,16.8,524.1,尼龙6,42.8,55,427.8,0.2,800,0.36527,37.9,839.7,84.5,98.21,2.7
Li₁₀GeP₂S₁₂(LGPS),硫化物,56.0,6.6,933.9,PI(聚酰亚胺),35.4,40,258.0,0.05,800,8.81572,78.2,879.0,84.8,97.17,2.31
Li₇P₃S₁₁,硫化物,29.0,7.1,743.7,PVDF-HFP,43.4,45,296.4,0.5,500,0.21222,46.1,627.2,92.6,97.87,2.56
Li₃PS₄,硫化物,18.7,9.7,571.1,PVA(聚乙烯醇),33.8,70,484.4,0.05,100,0.034,26.1,906.1,98.0,96.66,2.67
Na₃PS₄(参考),硫化物,75.7,11.5,570.6,PVDF,46.3,70,477.8,1.0,200,1.1569,43.1,868.8,96.5,97.03,2.83
Li₃InCl₆,卤化物,62.0,8.4,402.7,PVDF-HFP,27.9,25,248.1,1.0,800,0.76829,68.8,584.5,92.1,97.28,4.09
LLZO(Li₇La₃Zr₂O₁₂),氧化物,27.5,14.0,552.2,PPC(聚碳酸亚丙酯),52.0,30,200.4,0.5,100,0.01439,88.3,488.9,98.0,97.05,5.13
Li₇P₃S₁₁,硫化物,19.0,5.3,1107.4,PI(聚酰亚胺),35.4,60,461.4,1.0,800,0.07943,38.4,722.0,81.3,96.97,2.75
LISICON(Li₂+2xZn₁-xGeO₄),磷酸盐,77.2,19.7,274.3,PEG(聚乙二醇),38.5,55,496.4,0.1,300,0.33219,48.1,893.1,98.0,97.69,5.23
Li₃PS₄,硫化物,63.9,13.3,694.6,PEG(聚乙二醇),36.8,60,76.9,0.2,100,0.87215,93.7,908.8,92.8,95.78,2.63
LLZO/PVDF纳米纤维,复合,30.2,111.1,91.7,PPC(聚碳酸亚丙酯),52.3,80,276.8,0.2,50,0.16795,31.3,1001.5,97.1,96.63,4.4
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,32.6,7.4,590.0,尼龙6,42.1,45,366.6,0.1,100,0.35332,67.9,805.7,98.0,97.98,4.88
Na₃PS₄(参考),硫化物,14.1,12.1,602.7,PVDF-HFP,34.3,30,175.7,0.5,300,0.00454,62.6,479.7,96.2,98.0,2.62
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,20.7,11.0,301.4,PVA(聚乙烯醇),30.3,25,196.9,0.5,200,0.00617,54.2,458.1,95.8,98.01,5.11
LLZO/PVDF纳米纤维,复合,62.2,108.9,116.6,PMMA(聚甲基丙烯酸甲酯),46.7,45,278.5,0.2,100,0.18502,45.2,774.2,98.0,97.95,4.28
LLZO-Nb,氧化物,67.2,16.3,453.3,PCL(聚己内酯),53.4,25,404.2,1.0,200,0.26614,78.7,551.4,98.0,98.59,4.81
LLZO-Ta,氧化物,46.9,9.9,563.2,PI(聚酰亚胺),15.7,60,297.5,0.5,500,0.62648,56.2,710.1,95.8,96.77,4.91
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,58.0,17.9,348.7,纤维素基,32.4,30,315.0,1.0,50,0.15179,74.4,608.4,98.0,98.21,5.32
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,23.9,8.7,316.2,PVA(聚乙烯醇),32.1,30,361.0,0.2,100,0.01625,55.8,643.1,98.0,99.12,4.71
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,13.7,19.1,360.7,PVDF,36.0,60,307.1,0.5,200,0.00805,49.9,672.3,98.0,98.03,5.11
Li₃ScCl₆,卤化物,18.6,9.7,564.3,PI(聚酰亚胺),10.0,45,253.9,1.0,100,0.07506,51.4,650.2,98.0,96.9,3.97
LLZO(Li₇La₃Zr₂O₁₂),氧化物,18.9,18.2,562.1,PVDF-HFP,48.7,60,400.0,1.0,50,0.01322,48.1,692.0,96.2,97.41,5.21
LLZO-Nb,氧化物,73.4,13.8,446.9,PVDF,39.9,45,289.7,0.2,200,0.54351,85.0,747.5,98.0,97.83,5.21
Li₇P₃S₁₁,硫化物,23.7,8.1,924.1,PAN(聚丙烯腈),21.7,55,356.7,0.1,300,0.15008,43.9,755.1,89.0,96.81,2.68
LLZO@GO复合,复合,52.3,164.1,47.4,PVDF-HFP,39.9,25,325.8,0.05,100,0.21184,41.7,772.3,98.0,97.67,4.31
Na₃PS₄(参考),硫化物,77.3,17.2,577.8,PMMA(聚甲基丙烯酸甲酯),46.1,25,68.2,0.1,500,0.25793,109.8,642.3,81.7,96.63,2.6
Li₆PS₅Cl,硫化物,42.3,8.6,809.5,PVDF-HFP,17.3,55,465.0,0.2,200,1.55995,41.6,945.7,98.0,97.46,2.28
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,44.7,16.3,397.1,PCL(聚己内酯),62.2,80,161.9,0.5,300,0.56198,75.0,957.4,98.0,95.73,4.89
Li₂S-P₂S₅(75:25),硫化物,78.2,11.0,523.1,PVDF-HFP,30.5,45,170.3,0.5,500,2.02832,76.5,676.1,82.2,96.34,2.39
Li₃ScCl₆,卤化物,56.5,7.7,528.8,PI(聚酰亚胺),32.3,60,181.5,0.05,100,3.78899,79.4,1135.5,98.0,96.49,4.04
Na₃PS₄(参考),硫化物,15.9,18.8,606.1,PI(聚酰亚胺),26.9,60,497.0,0.1,300,0.01315,31.2,844.5,96.1,96.66,2.52
LLTO(Li₃xLa₂/₃-xTiO₃),氧化物,53.7,13.7,641.4,尼龙6,37.4,50,413.7,0.2,50,0.87542,74.0,811.9,98.0,98.5,4.67
Li₂S-P₂S₅(75:25),硫化物,35.8,10.6,674.7,PPC(聚碳酸亚丙酯),42.7,25,362.6,0.05,300,0.36047,58.1,742.8,88.4,97.27,2.63
Li₃YCl₆,卤化物,54.5,11.8,464.9,PEO(聚环氧乙烷),45.4,30,471.0,0.2,50,0.56987,55.0,786.1,98.0,98.07,4.04
Li₁₀GeP₂S₁₂(LGPS),硫化物,26.4,6.4,887.2,PVDF,25.1,45,488.6,1.0,300,0.74032,47.1,687.5,92.5,97.35,2.42
Li₃ScCl₆,卤化物,78.1,7.6,495.3,PI(聚酰亚胺),27.6,80,264.7,0.05,800,9.34282,71.1,1108.7,81.0,96.24,3.87
Li₃ScCl₆,卤化物,60.2,10.9,575.2,PVDF-HFP,33.6,30,306.6,0.5,200,1.73349,86.1,666.4,92.8,96.82,3.94
Li₆PS₅Cl,硫化物,61.7,6.9,771.3,PPC(聚碳酸亚丙酯),37.1,45,97.0,1.0,500,2.11926,83.8,787.9,87.1,97.65,2.39
Na₃PS₄(参考),硫化物,63.3,18.3,616.1,尼龙6,47.9,70,480.5,0.1,100,0.763,35.0,991.3,96.1,96.13,2.93
LAGP(Li₁.₅Al₀.₅Ge₁.₅(PO₄)₃),氧化物,62.4,14.5,322.9,PVA(聚乙烯醇),20.3,25,287.9,0.2,100,0.22575,91.1,648.5,98.0,98.29,5.13
LLZO/PVDF纳米纤维,复合,36.5,101.3,117.4,PEO(聚环氧乙烷),63.0,45,267.3,0.5,300,0.1068,44.6,681.0,97.9,97.34,4.57
LLZO-Ta,氧化物,26.3,12.6,346.2,PVDF-HFP,32.3,30,365.2,0.5,50,0.02973,57.9,619.6,98.0,98.57,5.24
Li₆PS₅Cl,硫化物,49.2,5.9,576.3,PMMA(聚甲基丙烯酸甲酯),37.2,70,125.8,0.05,50,3.2724,56.7,993.7,93.9,95.75,2.32
LATP(Li₁.₃Al₀.₃Ti₁.₇(PO₄)₃),氧化物,56.4,19.6,375.4,PEG(聚乙二醇),43.9,70,408.3,0.2,200,0.73705,55.4,1017.8,98.0,97.71,4.62
Li₇P₃S₁₁,硫化物,54.1,6.4,814.6,PPC(聚碳酸亚丙酯),44.2,60,412.4,0.2,300,2.40033,44.4,865.0,88.2,96.93,2.61
LLZO@GO复合,复合,65.2,171.6,41.4,尼龙6,32.7,30,146.2,0.2,800,0.36645,75.2,728.3,85.5,98.04,4.78
Li₇P₃S₁₁,硫化物,43.8,6.2,795.1,PAN(聚丙烯腈),41.5,25,96.8,0.2,300,0.76384,101.2,645.9,98.0,96.79,2.65
LiPON,磷酸盐,39.1,28.4,109.1,PVDF,42.6,25,66.5,0.1,200,0.00054,93.1,485.0,98.0,96.97,5.48
Li₇P₃S₁₁,硫化物,35.6,8.3,893.5,PPC(聚碳酸亚丙酯),40.2,50,77.3,0.2,100,0.91257,77.1,847.3,98.0,95.73,2.48
Li₂S-P₂S₅(75:25),硫化物,62.7,7.8,666.3,PEG(聚乙二醇),31.3,55,180.0,0.5,50,1.51301,74.9,744.6,96.8,96.46,2.12
LLZO@GO复合,复合,50.2,216.9,48.6,PVDF-HFP,36.1,40,367.3,0.5,500,0.27315,36.5,668.4,92.1,99.14,4.54
